emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
vl,verylow,VLLO,1931,-0.0670765650125095,-0.0008872017253943,0.0456220147674965,0.0961826520368389,0.1413418944834886,0.1934412014531754,0.2606145555882617
vl,verylow,VLLO,1932,-0.0632059045104717,0.0172229751715933,0.0713212445103451,0.1104138744483268,0.1517680739409491,0.2140117621489025,0.2980970280454083
vl,verylow,VLLO,1933,-0.0596343150968774,0.0151447220741198,0.0693406181824489,0.1084641280702237,0.1590862226614788,0.214142693230522,0.2852207849702123
vl,verylow,VLLO,1934,-0.0507519186400288,0.0270819658365151,0.081400931530789,0.1209826407337123,0.1621650739738725,0.217568332986435,0.2978914067347271
vl,verylow,VLLO,1935,-0.0372582205487935,0.0385942335721446,0.0903500475082425,0.1366729443612364,0.1763997827779876,0.231788634920657,0.305209284277804
vl,verylow,VLLO,1936,-0.0301127260076026,0.0421221952704344,0.0989869215773779,0.1385270345026104,0.1750359295732245,0.2278488974070227,0.3068712093622536
vl,verylow,VLLO,1937,-0.0312485938095964,0.0460078470708216,0.0966853802433856,0.1342151892236971,0.179257412122394,0.2320325500584222,0.3212622830126583
vl,verylow,VLLO,1938,-0.0312802260152808,0.0397692402748686,0.0976582828945771,0.1418659161334835,0.1854476936644049,0.2472083507489737,0.3135542699432503
vl,verylow,VLLO,1939,-0.0211986942497798,0.0512144665577986,0.101728184948496,0.1462404904997025,0.1847592536092415,0.244001921996503,0.3251885170025552
vl,verylow,VLLO,1940,-0.0327137567423971,0.045849098065593,0.1024560929116807,0.1494752230083162,0.1922118317197698,0.2466901693840398,0.3189874998266178
vl,verylow,VLLO,1941,-0.0182444233086849,0.0528909070642934,0.108144772901994,0.1525343543399264,0.1948956790842655,0.2522638734849269,0.3307471926066194
vl,verylow,VLLO,1942,-0.0140677730638606,0.0595202613077328,0.1063629757288632,0.1514672538519049,0.1945212965960996,0.2622774383207525,0.3242225743536392
vl,verylow,VLLO,1943,-0.020020143246763,0.0622167393483248,0.1063079184137638,0.1591304169938071,0.2058551440296663,0.2600232253500448,0.3437054669151538
vl,verylow,VLLO,1944,-0.0214702103859374,0.0585702068866751,0.1139520945018121,0.1599215946769062,0.2005783458595986,0.2575887031743412,0.3375920653121716
vl,verylow,VLLO,1945,-0.0180465764474503,0.0614593435199456,0.1170750156203498,0.1650561736241753,0.2073025735727799,0.2645452612374627,0.3342234270394382
vl,verylow,VLLO,1946,-0.0046607214173421,0.0782335543685872,0.1292425998313893,0.1741172194290207,0.2159054375872688,0.2758866285098128,0.3608949449187892
vl,verylow,VLLO,1947,8.404887400345618e-05,0.0819164193908089,0.1347839281324022,0.1885602142794319,0.2316563847096261,0.2926135870895997,0.3745040897061646
vl,verylow,VLLO,1948,0.0172506590421585,0.094024469745613,0.1505988838750403,0.1903719059182685,0.2312533898992064,0.2901980391691682,0.3707102476383142
vl,verylow,VLLO,1949,0.0201634348350493,0.0885672715574046,0.1422553607503527,0.1953054409633971,0.2415790469549572,0.2944914249019682,0.3678846512108586
vl,verylow,VLLO,1950,0.0288324883155991,0.096960295037341,0.1499594309163294,0.1996427405500911,0.2409191500514326,0.296447905682987,0.3701539931805183
vl,verylow,VLLO,1951,0.0232956013508844,0.1067653074679352,0.1549757505939993,0.200411803605704,0.2428193044688008,0.2963826173720769,0.3793843458744743
vl,verylow,VLLO,1952,0.0194953622626739,0.0985447537854264,0.1533871561179946,0.2058969214405384,0.2477730119729407,0.3058583854677231,0.3840877840673969
vl,verylow,VLLO,1953,0.0288313634102056,0.1060527608091687,0.163515469384155,0.2093842864809658,0.2496340455165272,0.3005042464888491,0.3813407827229545
vl,verylow,VLLO,1954,0.0238996284663587,0.1189200983687965,0.1692086745375823,0.2128973809021894,0.2519923292868051,0.3072654200906483,0.388143802124528
vl,verylow,VLLO,1955,0.0301733458877543,0.1087727431782464,0.1637085567090582,0.2072035349483288,0.2475215590379972,0.3070148898009499,0.3922526768856964
vl,verylow,VLLO,1956,0.030727635102984,0.1086567938500758,0.1643551919361609,0.2070676432499051,0.250959431717036,0.3089994909854651,0.3900640040852954
vl,verylow,VLLO,1957,0.0279622762829594,0.1130017891591976,0.1652530312451502,0.2149957146617126,0.258711686196603,0.3099953786853597,0.3937116374802544
vl,verylow,VLLO,1958,0.043111218660954,0.1153809353634152,0.1710480659100984,0.2188964220082087,0.2601492651397477,0.3138863340804202,0.3862546560751148
vl,verylow,VLLO,1959,0.0468683616913542,0.1128642107188801,0.1734650542815768,0.2227297883176038,0.2653582280911749,0.3240801723280389,0.3926518321307504
vl,verylow,VLLO,1960,0.0548981388696269,0.1299424176197685,0.1820945571165592,0.2271786275310004,0.2750726965314977,0.3228720848014696,0.403732621385739
vl,verylow,VLLO,1961,0.051488291304422,0.1278463114192298,0.1818502926880437,0.233004906727973,0.2830142740699488,0.3337351117635165,0.4201196166244671
vl,verylow,VLLO,1962,0.0488845129563811,0.1251264717799687,0.1845999540161486,0.2337201989765638,0.2804215010984592,0.3476527271565641,0.4256597480989852
vl,verylow,VLLO,1963,0.0388964793532201,0.1127729869727084,0.1741937797769149,0.2170581294491765,0.264523466056807,0.3247971560109317,0.4055988239584186
vl,verylow,VLLO,1964,-0.0340068380454364,0.0307771095343418,0.0892702402792468,0.1419724438262014,0.1925563416522775,0.2513150614627687,0.3320185641165387
vl,verylow,VLLO,1965,-0.0825922711247115,-0.0001374893284304,0.0656882320490418,0.1155880834319658,0.1651283468082454,0.2326126815300247,0.3182909672486912
vl,verylow,VLLO,1966,-0.0659875877219341,0.0232142247866659,0.0858700190316094,0.1407773270160522,0.1912265685783866,0.2523119891978498,0.3250740149570117
vl,verylow,VLLO,1967,-0.0201843022534706,0.0641296173424551,0.1300292520496911,0.1809465829646446,0.2323502089569332,0.2926188786400516,0.3729485126985448
vl,verylow,VLLO,1968,-0.0024609154936995,0.0737014273358092,0.1358881172734972,0.1882931294622958,0.238974132103657,0.3024821263234056,0.3915300636170745
vl,verylow,VLLO,1969,0.0016635677912021,0.0895004599679432,0.145584644674302,0.2038337013524107,0.2596709656840115,0.320411303159494,0.3979527952694578
vl,verylow,VLLO,1970,0.0358297810774686,0.1078947884994279,0.1720022402978576,0.2306900294908058,0.2799312053837384,0.3388327570592633,0.4261200342643778
vl,verylow,VLLO,1971,0.0410190074362023,0.1181750967013387,0.1808903018713106,0.2331773306758052,0.2871160457667009,0.3527707418007677,0.4336004046600441
vl,verylow,VLLO,1972,0.0256907794250337,0.115261572896481,0.1875954705825281,0.2442998679443129,0.2987444389955514,0.3714523372541091,0.4452087592021623
vl,verylow,VLLO,1973,0.0384151283889476,0.123329129839221,0.1962503669164281,0.2543267839736204,0.3041276741609769,0.3732461554827102,0.4610390329539504
vl,verylow,VLLO,1974,0.0684644281538539,0.1518022565827461,0.2111005186080835,0.2663197661649663,0.3234961160394589,0.3970750563767529,0.4774008056182561
vl,verylow,VLLO,1975,0.0750857003651054,0.1622932585442702,0.2236943135912596,0.2827106251822473,0.3371462853396864,0.4091856508062878,0.4997132522067303
vl,verylow,VLLO,1976,0.0649998087464936,0.1507367016266586,0.2190255886717853,0.2759768013121476,0.337762921490352,0.4061497717657782,0.4927877611692818
vl,verylow,VLLO,1977,0.0803401135656879,0.16842394009916,0.238530453289286,0.3047003958729294,0.3528088129083343,0.4218665570783084,0.5033340120297253
