scenario,short,year,p5,p17,p33,p50,p66,p83,p95
verylow-overshoot,VLHO,1993.0,0.20018120978299916,0.26184129221430685,0.31988849483635823,0.3677516907786433,0.4217540441179271,0.5026054883968397,0.5994091230240044
verylow-overshoot,VLHO,1994.0,0.20188887373039813,0.27217365856383935,0.3275492535309126,0.37976395716452516,0.42962777275745273,0.5007425479799587,0.5973207248165063
verylow-overshoot,VLHO,1995.0,0.19412895334906516,0.2859121210716898,0.3410327833222737,0.3921664528768078,0.4406369416589003,0.5145556097843461,0.603810233855144
verylow-overshoot,VLHO,1996.0,0.1972547535096097,0.2855421138457196,0.34993515784961793,0.40374019733420874,0.44794772666565214,0.519059246316261,0.6224134976554644
verylow-overshoot,VLHO,1997.0,0.21949450309767,0.2930345991695923,0.3567003094050627,0.4137089850984541,0.46058776040810967,0.5352593617924916,0.6292947799224476
verylow-overshoot,VLHO,1998.0,0.22911984132116356,0.30229727196498946,0.3634608189722237,0.4145520929181364,0.47076568971976124,0.5504481675973474,0.6536870829561237
verylow-overshoot,VLHO,1999.0,0.23822327871052038,0.31677227457247126,0.3710298801334268,0.42693196655789617,0.48444799603044403,0.556002590357603,0.6539660670720894
verylow-overshoot,VLHO,2000.0,0.23886519091618652,0.3234043055608012,0.38385951598353385,0.4341788519631908,0.4883628422545156,0.5729001013907513,0.6607108512089775
verylow-overshoot,VLHO,2001.0,0.2547136461108045,0.3380963535051324,0.4039390958014093,0.4499470363553884,0.5029408570759033,0.5769522487619604,0.6673525567373678
verylow-overshoot,VLHO,2002.0,0.2714675510197036,0.36299699959246823,0.41770167537547975,0.47218020370605346,0.5178906783629161,0.5857434423803765,0.6892572548115864
verylow-overshoot,VLHO,2003.0,0.2646963149095942,0.3575201397502732,0.41438344424111057,0.4772683717884988,0.5269880376267406,0.5949149259844565,0.6944168365046479
