emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
vl,verylow,VLLO,1893,-0.1567304458155994,-0.0824507186088597,-0.0390324775099717,0.0023643178991797,0.0429904995581969,0.0901827685730883,0.164374253942111
vl,verylow,VLLO,1894,-0.1632418222985466,-0.0875577343640398,-0.0359306868537302,0.007116673269977,0.0442966870927896,0.0938417146172486,0.1588437414942335
vl,verylow,VLLO,1895,-0.1556023903361299,-0.0804733737779648,-0.0306779733330809,0.0078312547147064,0.0421212409120406,0.0892790081369512,0.1534146565229811
vl,verylow,VLLO,1896,-0.1448090186435837,-0.076144868607034,-0.032076928118685,0.0068622027984445,0.0432511565112798,0.0970246028753524,0.1648882723306402
vl,verylow,VLLO,1897,-0.1553634171326176,-0.0888873510010824,-0.0338080854375376,0.00577391270857,0.0397301210018901,0.0943928884852166,0.163914669889429
vl,verylow,VLLO,1898,-0.1501831157813878,-0.0804822421007892,-0.0259892246714694,0.0143865856933246,0.0492450994944508,0.0986026876708143,0.1697846984693317
vl,verylow,VLLO,1899,-0.1500266810634107,-0.0759076871718767,-0.0290537075205077,0.0120156402227123,0.0509342152376271,0.1026099870519272,0.1675445353019914
vl,verylow,VLLO,1900,-0.1548208652983153,-0.0825150095079869,-0.03350515022752,0.005564113917266,0.0446860333092536,0.0923989848054073,0.1772455344761135
vl,verylow,VLLO,1901,-0.1467412991079479,-0.083649392301508,-0.0344537058654014,0.0070544938827651,0.0447304206601198,0.0885769137317271,0.1573274062082068
vl,verylow,VLLO,1902,-0.1533785235022767,-0.0830913080181568,-0.033946591311012,0.0063202124423738,0.0460158987388659,0.1005025048171692,0.1727877008121291
vl,verylow,VLLO,1903,-0.1604147850926473,-0.0825240599013035,-0.0372762623967225,0.0102597685227988,0.0523053733331207,0.0959911966374907,0.1826794053278098
vl,verylow,VLLO,1904,-0.1496981822284882,-0.0765860030649968,-0.0267810713137702,0.0141841807952226,0.0549800208464979,0.100570911086326,0.1665671435752745
vl,verylow,VLLO,1905,-0.155165228331556,-0.0732095625567532,-0.0259328784452867,0.0141370571891544,0.0543078056932694,0.1038942912705892,0.1733324651485796
vl,verylow,VLLO,1906,-0.1540060342880649,-0.0750475446140454,-0.0204261263801995,0.0166070458062889,0.0553459184369881,0.0975317554313355,0.1686765712638613
vl,verylow,VLLO,1907,-0.1424698371206417,-0.0667096957163263,-0.0178433536442234,0.0217347677389693,0.0585427148471069,0.1103465393834911,0.1751619195170048
vl,verylow,VLLO,1908,-0.139670501652528,-0.0702331179878277,-0.0227022497877453,0.0169776757847274,0.0550899852113002,0.1091873919767629,0.1856917346833242
vl,verylow,VLLO,1909,-0.149001419880201,-0.0718213219713075,-0.0173623367886253,0.0234840069698392,0.0631047142334097,0.1166931273301891,0.1808503368498704
vl,verylow,VLLO,1910,-0.1444676459735834,-0.0745067654799295,-0.0201349308925063,0.0236166233630131,0.059239136255031,0.1061103322443824,0.1772046672659295
vl,verylow,VLLO,1911,-0.1485162007498147,-0.069428523060211,-0.0240233126795717,0.015879371709899,0.0493654119685932,0.101388141086908,0.1842856293199976
vl,verylow,VLLO,1912,-0.1507992341803197,-0.0740023498914646,-0.0217955931341961,0.0206622592183254,0.0599712902464879,0.1188967248428586,0.1826883491747291
vl,verylow,VLLO,1913,-0.1365188170778723,-0.0711451164950366,-0.0120074602227197,0.0281280028373673,0.063370404570163,0.1111273401008479,0.1822109090981824
vl,verylow,VLLO,1914,-0.1449717500937437,-0.0638237452268584,-0.0168257457851337,0.0178860316392002,0.0561992137137312,0.1150924094891998,0.1995549636406234
