scenario,year,GtCO2_per_yr
vl,1991,23.02882942473488
vl,1992,22.891837607316663
vl,1993,23.01198055686307
vl,1994,23.18740267239792
vl,1995,23.729783405750794
vl,1996,24.220480792666418
vl,1997,24.64867273678962
vl,1998,24.807017735198304
vl,1999,25.03151986593739
vl,2000,25.776556046959477
vl,2001,26.03614730646333
vl,2002,26.51322490613231
vl,2003,27.79828180449055
vl,2004,29.139002674746738
vl,2005,30.13246353125063
vl,2006,31.188585028211566
vl,2007,32.36730771901994
vl,2008,32.61089058282505
vl,2009,31.884038102768354
vl,2010,33.81428386817776
vl,2011,34.79465790827678
vl,2012,35.210760663896465
vl,2013,35.85262493484158
vl,2014,36.13741160011484
vl,2015,36.052700316356876
vl,2016,36.09354386281786
vl,2017,36.694621314121825
vl,2018,37.37349215299074
vl,2019,37.44619472081973
vl,2020,35.73902524479265
vl,2021,37.84524298596229
vl,2022,38.113130773589276
vl,2023,38.74688829811485
vl,2024,39.058336987014165
vl,2025,39.37351915463741
vl,2026,38.59760420383647
vl,2027,37.82168925303554
vl,2028,37.0457743022346
vl,2029,36.26985935143367
vl,2030,35.49394440063273
vl,2031,32.9416766213574
vl,2032,30.38940884208207
vl,2033,27.83714106280674
vl,2034,25.28487328353141
vl,2035,22.73260550425608
vl,2036,20.657617636905222
vl,2037,18.58262976955436
vl,2038,16.5076419022035
vl,2039,14.432654034852638
vl,2040,12.357666167501776
vl,2041,10.99960933031854
vl,2042,9.641552493135306
vl,2043,8.28349565595207
vl,2044,6.925438818768835
vl,2045,5.5673819815856
vl,2046,4.86528250569534
vl,2047,4.16318302980508
vl,2048,3.461083553914821
vl,2049,2.7589840780245614
vl,2050,2.0568846021343017
vl,2051,1.7886433331231357
vl,2052,1.5204020641119698
vl,2053,1.2521607951008038
vl,2054,0.9839195260896378
vl,2055,0.7156782570784719
vl,2056,0.5088359467592097
vl,2057,0.30199363643994753
vl,2058,0.09515132612068533
vl,2059,-0.11169098419857681
vl,2060,-0.31853329451783896
vl,2061,-0.36389667753742816
vl,2062,-0.40926006055701736
vl,2063,-0.45462344357660656
vl,2064,-0.49998682659619575
vl,2065,-0.545350209615785
vl,2066,-0.5907128835378272
vl,2067,-0.6360755574598694
vl,2068,-0.6814382313819117
vl,2069,-0.7268009053039539
vl,2070,-0.7721635792259962
vl,2071,-0.8003154005851756
vl,2072,-0.828467221944355
vl,2073,-0.8566190433035343
vl,2074,-0.8847708646627137
vl,2075,-0.9129226860218931
vl,2076,-0.9410747878650776
vl,2077,-0.969226889708262
vl,2078,-0.9973789915514465
vl,2079,-1.0255310933946309
vl,2080,-1.0536831952378154
vl,2081,-1.0463494184929132
vl,2082,-1.039015641748011
vl,2083,-1.0316818650031085
vl,2084,-1.0243480882582063
vl,2085,-1.0170143115133041
vl,2086,-1.0096797973263116
vl,2087,-1.002345283139319
vl,2088,-0.9950107689523264
vl,2089,-0.9876762547653338
vl,2090,-0.9803417405783412
vl,2091,-0.9885855664004283
vl,2092,-0.9968293922225153
vl,2093,-1.0050732180446023
vl,2094,-1.0133170438666894
vl,2095,-1.0215608696887764
vl,2096,-1.0298043291892764
vl,2097,-1.0380477886897768
vl,2098,-1.0462912481902769
vl,2099,-1.0545347076907772
vl,2100,-1.0627781671912773
