scenario,year,gmean_K
ghg,1898,287.2149177750563
ghg,1899,287.31092785923846
ghg,1900,287.3349313698732
ghg,1901,287.32554887268566
ghg,1902,287.2487629898658
ghg,1903,287.44234074593913
ghg,1904,287.5787912745091
ghg,1905,287.3862337180853
ghg,1906,287.310855322334
ghg,1907,287.370121677654
ghg,1908,287.3360563836841
ghg,1909,287.3514620471993
ghg,1910,287.5594917310296
ghg,1911,287.477138814239
ghg,1912,287.38546974121266
ghg,1913,287.54871448832625
ghg,1914,287.5245203540279
ghg,1915,287.2126493076671
ghg,1916,287.3588121750687
ghg,1917,287.49296701117834
ghg,1918,287.30879874570525
ghg,1919,287.23726614148075
ghg,1920,287.4662286968522
ghg,1921,287.6775781614365
ghg,1922,287.49011119640045
ghg,1923,287.5809723997329
ghg,1924,287.4159229229578
ghg,1925,287.44779599294395
ghg,1926,287.5718196240465
ghg,1927,287.71082491348596
ghg,1928,287.5209423341332
ghg,1929,287.6179739876318
ghg,1930,287.6267573457703
ghg,1931,287.55138075008097
ghg,1932,287.6781641184439
ghg,1933,287.7966354445106
ghg,1934,287.6501588849548
ghg,1935,287.7744237992416
ghg,1936,287.46659140763114
ghg,1937,287.5106854520876
ghg,1938,287.6381283178518
ghg,1939,287.5929494121418
ghg,1940,287.3712164232596
ghg,1941,287.6259839449107
ghg,1942,287.6484003788057
ghg,1943,287.58025653968326
ghg,1944,287.7930204104247
ghg,1945,287.89725367537085
ghg,1946,287.6861618173252
ghg,1947,287.7676835788446
ghg,1948,287.9365958897928
ghg,1949,287.6769288195577
ghg,1950,287.64214764226773
ghg,1951,287.7702499594065
ghg,1952,287.7798115307752
ghg,1953,287.7862769242362
ghg,1954,287.69873729117467
ghg,1955,287.872697821173
ghg,1956,287.9420640783804
ghg,1957,287.6303307545744
ghg,1958,287.6673733025821
ghg,1959,287.67242077453284
ghg,1960,287.64048220825316
ghg,1961,287.6821255404882
ghg,1962,287.7608632669564
ghg,1963,287.7499106835106
ghg,1964,287.78649273792917
ghg,1965,287.83309118023175
ghg,1966,287.7841479926244
ghg,1967,287.64668345816443
ghg,1968,287.84392479018084
ghg,1969,287.9647954237422
ghg,1970,287.86823298163387
ghg,1971,287.832556885621
ghg,1972,287.71121144536835
ghg,1973,287.7798412797588
ghg,1974,287.7258815047189
ghg,1975,287.95978982208214
ghg,1976,287.9754544298069
ghg,1977,287.7460387927349
ghg,1978,288.05039071229965
ghg,1979,288.1368108555308
ghg,1980,288.09440678130704
ghg,1981,287.9467197967594
ghg,1982,288.0314293615737
ghg,1983,288.1693407221288
ghg,1984,288.0224076837778
ghg,1985,288.01289177170923
ghg,1986,288.06759763222635
ghg,1987,288.301120211381
ghg,1988,288.3960626459206
ghg,1989,288.41662979276543
ghg,1990,288.37529960300225
ghg,1991,288.2181062790172
ghg,1992,288.3115188712262
ghg,1993,288.33906879175476
ghg,1994,288.2607653773081
ghg,1995,288.22535082410906
ghg,1996,288.37882600081315
ghg,1997,288.3035517026973
ghg,1998,288.3868558614451
ghg,1999,288.4198642779503
ghg,2000,288.3580237409661
ghg,2001,288.17304405629443
ghg,2002,288.3692119376048
ghg,2003,288.5619667292446
ghg,2004,288.5765876513761
ghg,2005,288.3276784874035
ghg,2006,288.4572229195712
ghg,2007,288.60474780993127
ghg,2008,288.4907884127451
ghg,2009,288.70747673946335
ghg,2010,288.752918689187
ghg,2011,288.63235557848105
ghg,2012,288.63332022318497
ghg,2013,288.6685475584389
