year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
1991,13.046796,13.050901,13.051393,12.983809,13.018399,13.026934,13.253594,13.037974,13.143166,13.170029,13.135496
1992,13.234274,13.135209,13.333999,13.115468,13.174337,13.194204,13.114543,13.133158,13.107185,13.067823,13.189392
1993,13.165411,13.043530,13.040951,13.280945,13.164260,13.098197,13.241670,12.929449,13.011933,12.974764,13.116051
1994,13.097761,13.291280,13.198518,13.167310,13.034067,13.129308,13.129903,13.384637,13.062456,13.388465,13.168997
1995,13.108837,13.076423,13.026785,13.085448,13.081842,13.267170,13.348671,13.385995,13.247621,13.150351,13.255298
1996,13.304598,13.114967,13.253021,13.368810,13.070634,13.137021,13.179559,13.111627,13.275039,13.075628,13.330169
1997,13.482681,13.024620,13.147446,13.447876,13.210043,13.364840,13.027445,13.192558,12.972281,13.219970,13.186643
1998,13.001513,13.185309,13.168038,13.242170,13.047327,13.135046,13.257644,13.171153,13.195924,12.831180,13.130394
1999,12.980527,12.991317,13.118641,13.176173,13.068882,13.290042,13.042969,13.424166,13.358091,13.049879,13.219640
2000,13.057173,13.260322,13.323590,13.065307,13.357600,13.176180,13.269619,13.332064,13.076764,12.895495,13.183068
2001,13.242651,13.161025,13.000676,13.327795,13.293296,13.058393,13.094499,13.226976,13.208485,13.084018,13.138146
2002,12.973236,13.041116,13.040505,13.115666,13.289257,13.159191,13.167057,13.079575,13.012284,13.419637,13.134704
2003,13.178082,13.119989,13.115551,13.252601,13.290808,13.137964,13.232611,13.110200,13.302069,13.013202,13.293255
2004,13.244978,13.231051,13.104290,13.234084,13.311483,13.179234,13.207992,13.141467,13.234122,13.076715,12.981067
2005,13.438426,13.097775,12.959043,13.094072,13.217230,13.147336,13.205991,13.151382,13.189030,13.235280,13.025489
2006,13.234011,13.132248,13.092606,13.006569,13.529353,13.071412,13.136697,13.006440,13.297346,13.146352,13.109916
2007,13.022675,13.178565,13.028975,13.131591,13.161879,13.304734,13.082349,12.957241,13.148958,13.051195,13.144549
2008,13.220443,12.873278,13.336968,13.230160,13.271429,13.364314,13.168328,13.025593,13.049430,13.229028,13.191738
2009,13.004997,12.917401,13.269739,13.017093,13.401331,13.056367,13.140718,13.221345,13.204468,13.087754,12.921417
2010,12.963106,12.977851,13.108616,12.951878,13.210200,13.164291,13.321113,13.268491,13.148111,13.000745,12.988141
2011,13.168965,12.911997,12.976422,13.286455,13.214576,13.064588,13.164901,13.116475,13.179107,13.089235,13.218667
2012,13.052398,13.149625,12.973119,13.205617,13.243561,12.796479,13.063292,12.944906,13.154243,13.182409,13.107988
2013,13.157126,13.211714,13.150957,13.087815,13.049168,13.223710,13.058743,13.032549,12.970522,13.419690,13.103129
2014,13.163771,13.076410,13.222421,13.340465,13.060134,13.078788,13.031883,12.824197,13.133736,13.061571,13.124393
2015,13.114614,13.263789,13.188970,13.104807,13.181992,12.987260,13.106031,13.304814,13.080123,13.426386,13.270195
2016,12.985007,13.047287,13.140148,12.992773,13.218313,13.236372,12.957998,13.007063,13.158884,13.040227,13.178261
2017,13.226535,13.175028,13.220213,12.935918,13.060296,13.246765,13.203390,13.183473,13.074716,13.250137,13.069039
2018,13.389900,13.082089,13.097580,13.261907,13.025557,13.237925,13.658185,13.218405,13.274882,13.152676,13.490009
2019,13.246956,13.193766,13.039040,13.028237,13.337722,13.092149,13.112331,13.010996,13.067461,13.198162,13.153356
2020,13.134652,13.310138,13.301465,13.066701,13.001806,13.347358,13.067255,13.150398,13.437499,13.055474,13.152260
2021,13.059435,13.048883,13.184973,13.305878,13.063941,13.399544,13.163258,13.022095,13.162041,13.353513,13.045976
2022,13.020582,13.089431,13.249308,13.085415,13.176700,13.044699,13.087598,13.149793,12.968196,13.331221,12.881982
