scenario,source,value,unit
ssp245,emulator,4.329118319203973,%
ssp245,emulator,4.165146537283124,%
ssp245,emulator,4.806568076937432,%
ssp245,emulator,4.381089915845916,%
ssp245,emulator,4.506122382219767,%
ssp245,emulator,4.883334543308096,%
ssp245,emulator,4.568336815301592,%
ssp245,emulator,4.199564390169078,%
ssp245,emulator,4.6197424251816415,%
ssp245,emulator,4.000508955372491,%
ssp245,emulator,4.5950095237505995,%
ssp245,emulator,4.860042242070809,%
ssp245,emulator,6.349583183113492,%
ssp245,emulator,4.724126675007104,%
ssp245,emulator,3.583800831607577,%
ssp245,emulator,4.959971544260348,%
ssp245,emulator,4.462640174748991,%
ssp245,emulator,5.25285831559356,%
ssp245,emulator,3.0562399148467922,%
ssp245,emulator,5.419343535532788,%
ssp245,emulator,4.025648376471201,%
ssp245,emulator,4.512524416879541,%
ssp245,emulator,3.576859708838476,%
ssp245,emulator,4.669633360250342,%
ssp245,emulator,4.274899197257393,%
ssp245,emulator,4.143177658569635,%
ssp245,emulator,5.130757346861828,%
ssp245,emulator,5.328296280897913,%
ssp245,emulator,4.71587872425514,%
ssp245,emulator,4.7484450034657,%
ssp245,emulator,5.139416422541007,%
ssp245,emulator,5.396090744853784,%
ssp245,emulator,4.726157886922507,%
ssp245,emulator,4.049457572279481,%
ssp245,emulator,5.328655901285475,%
ssp245,emulator,3.078703521863398,%
