scenario,source,value,unit
ssp126,emulator,2.1014042338204444,degC
ssp126,emulator,2.096735308433308,degC
ssp126,emulator,2.2191123327899422,degC
ssp126,emulator,2.1434859143277887,degC
ssp126,emulator,2.297247573559039,degC
ssp126,emulator,2.036832923697519,degC
ssp126,emulator,2.2311784797248055,degC
ssp126,emulator,2.0467476709497436,degC
ssp126,emulator,2.1354079313504872,degC
ssp126,emulator,2.2863594488755705,degC
ssp126,emulator,2.0410765892260034,degC
ssp126,emulator,1.8477089565607283,degC
ssp126,emulator,2.072238008749496,degC
ssp126,emulator,2.2706517804908994,degC
ssp126,emulator,2.2706074922194954,degC
ssp126,emulator,2.128847865298054,degC
ssp126,emulator,2.1460852206169374,degC
ssp126,emulator,2.3264644835579613,degC
ssp126,emulator,2.2215986916253723,degC
ssp126,emulator,1.9562646634120409,degC
ssp126,emulator,1.9670543302732444,degC
ssp126,emulator,1.9069783154288764,degC
ssp126,emulator,2.188119191334197,degC
ssp126,emulator,2.054110868434284,degC
ssp126,emulator,2.100687746812719,degC
ssp126,emulator,2.0866618157217136,degC
ssp126,emulator,2.3698795987835144,degC
ssp126,emulator,2.2168870155568374,degC
ssp126,emulator,2.1188004920686137,degC
ssp126,emulator,2.365590458233184,degC
ssp126,emulator,2.318103036894554,degC
ssp126,emulator,2.0459007621873457,degC
ssp126,emulator,2.2802761137418717,degC
ssp126,emulator,2.251123573352137,degC
ssp126,emulator,2.24036459780441,degC
ssp126,emulator,1.7951086013669464,degC
ssp126,emulator,2.150618242562439,degC
ssp126,emulator,2.10082516432122,degC
ssp126,emulator,2.158291340763528,degC
ssp126,emulator,2.137097992452878,degC
ssp126,emulator,2.3183144484159524,degC
ssp126,emulator,2.0252073328488844,degC
ssp126,emulator,2.176477250790912,degC
ssp126,emulator,1.9350690693495025,degC
ssp126,emulator,2.041431768203962,degC
ssp126,emulator,2.174160912419355,degC
ssp126,emulator,2.2549367087995105,degC
ssp126,emulator,2.3921650586364844,degC
ssp126,emulator,1.8584664019872257,degC
ssp126,emulator,1.9804871544932912,degC
ssp126,emulator,2.060512802085105,degC
ssp126,emulator,2.1746167765428925,degC
ssp126,emulator,2.2217765093271193,degC
ssp126,emulator,2.2701258547010372,degC
ssp126,emulator,2.0201953016229286,degC
ssp126,emulator,2.076019322386893,degC
ssp126,emulator,2.035101693150411,degC
ssp126,emulator,2.124338624366553,degC
ssp126,emulator,2.1182234877722106,degC
ssp126,emulator,1.7627209620878403,degC
ssp126,emulator,2.1373435474049547,degC
ssp126,emulator,1.769095832864009,degC
ssp126,emulator,2.0074946847138744,degC
ssp126,emulator,2.205876068307445,degC
ssp126,emulator,1.9311063595838025,degC
ssp126,emulator,2.185279422972682,degC
ssp126,emulator,2.252570889316649,degC
ssp126,emulator,1.9681344839520154,degC
ssp126,emulator,2.175875088983636,degC
ssp126,emulator,2.1913912294653546,degC
ssp126,emulator,2.0925543709861163,degC
ssp126,emulator,2.3057489637443798,degC
ssp126,emulator,2.0431660270193905,degC
ssp126,emulator,2.2883003485685283,degC
ssp126,emulator,2.068111477976247,degC
ssp126,emulator,2.2628658258676975,degC
ssp126,emulator,2.2643709185770025,degC
ssp126,emulator,2.1148839710905403,degC
ssp126,emulator,2.1639339763052607,degC
ssp126,emulator,2.1015818787394114,degC
ssp126,emulator,1.855803898191855,degC
ssp126,emulator,1.9650096564962016,degC
ssp126,emulator,1.7760919187659638,degC
ssp126,emulator,2.017792342393852,degC
ssp126,emulator,2.182257445210757,degC
ssp126,emulator,2.3713463008057385,degC
ssp126,emulator,2.291538473164339,degC
ssp126,emulator,2.140287784309022,degC
ssp126,emulator,1.944864883271153,degC
ssp126,emulator,2.2593205658503184,degC
